20160105X24817 | Accident | GAA16CA095 | 12/30/2015 | Fort Worth, TX | United States | 32.814444 | -97.364722 | FTW | FORT WORTH MEACHAM INTL | Non-Fatal | Substantial | Airplane | N2135B | PIPER | PA 28-161 | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  |  |  |  | 2 | VMC | APPROACH | Probable Cause | 02/08/2016 | 
20151006X44558 | Incident | DCA15WA202 | 08/18/2015 | Trivandrum, India | India |  |  |  |  | Incident |  | Airplane |  | BOEING | 737 | No |  |  |  |  |  |  |  |  |  |  |  | LANDING | Foreign |  | 
20150820X20604 | Accident | CEN15LA370 | 08/18/2015 | Cresco, IA | United States | 43.365278 | -92.133056 |  | N/A | Non-Fatal | Substantial | Helicopter | N5743W | BELL | 206B | No | 1 | Turbo Shaft | Part 137: Agricultural |  | Aerial Application |  |  |  |  | 1 | VMC | MANEUVERING | Preliminary | 08/20/2015 | 
20150820X11129 | Accident | CEN15LA369 | 08/18/2015 | Bolivar, MO | United States | 37.596111 | -93.348055 | M17 | BOLIVAR MUNI | Non-Fatal | Substantial | Airplane | N6KW | CESSNA | 182P | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 1 |  | VMC | LANDING | Preliminary | 09/21/2015 | 
20150819X94949 | Accident | CEN15LA367 | 08/18/2015 | Wiville, AR | United States | 35.163611 | -91.223611 |  | N/A | Unavailable | Destroyed | Airplane | N3070R | AIR TRACTOR INC | AT-802A | No |  |  | Part 137: Agricultural |  | Aerial Application |  |  |  |  |  | VMC | MANEUVERING | Preliminary | 08/19/2015 | 
20150818X00406 | Incident | WPR15IA244 | 08/17/2015 | Page, AZ | United States | 37.024445 | 111.630834 |  | N/A | Incident | Minor | Airplane | N771RT | QUEST | KODIAC 100 | No | 1 | Turbo Prop | Part 135: Air Taxi & Commuter | NSCH |  | Arrow West Aviation (DBA: Redtail AViation) |  |  |  | 6 | VMC | TAKEOFF | Preliminary | 08/31/2015 | 
20150817X00729 | Accident | ERA15LA318 | 08/17/2015 | Chiefland, FL | United States | 29.436389 | -82.945555 |  | N/A | Non-Fatal | Substantial | Airplane | N84308 | CESSNA | 172K | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 3 | VMC |  | Probable Cause | 06/29/2016 | 
20150901X45934 | Accident | CEN15WA394 | 08/17/2015 | Newquay, United Kingdom, United Kingdom | United Kingdom |  |  |  |  | Fatal(1) | Substantial | Airplane |  | PIPER | PA-34-220T | No |  |  |  |  |  |  | 1 |  |  |  |  | GO-AROUND | Foreign |  | 
20150817X20533 | Accident | CEN15FA362 | 08/17/2015 | McAllen, TX | United States | 26.164444 | -98.232500 | MFE | MCALLEN MILLER INTL | Fatal(2) | Destroyed | Airplane | N26ZA | ZENAIR LTD | CH 2000 | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  | 2 |  |  |  | VMC | TAKEOFF | Factual | 08/25/2016 | 
20150816X60452 | Accident | WPR15MA243B | 08/16/2015 | San Diego, CA | United States | 32.578611 | -116.957778 | SDM | BROWN FIELD MUNI | Fatal(5) | Substantial | Airplane | N442RM | NORTH AMERICAN ROCKWELL | NA265-60SC | No | 2 | Turbo Jet | Part 91: General Aviation |  | Other Work Use |  | 5 |  |  |  | VMC | APPROACH | Preliminary | 01/28/2016 | 
20150816X60452 | Accident | WPR15MA243A | 08/16/2015 | San Diego, CA | United States | 32.578611 | -116.957778 | SDM | BROWN FIELD MUNI | Fatal(5) | Destroyed | Airplane | N1285U | CESSNA | 172M | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  | 5 |  |  |  | VMC | APPROACH | Preliminary | 01/28/2016 | 
20150818X73331 | Accident | WPR15LA246 | 08/16/2015 | Libby, MT | United States | 48.283889 | -115.490277 | S59 | LIBBY | Non-Fatal | Substantial | Airplane | N43616 | TAYLORCRAFT | BC12 D | No |  | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 2 |  | LANDING | Preliminary | 09/22/2015 | 
20150903X70442 | Accident | GAA15CA248 | 08/16/2015 | Los Angeles, CA | United States | 34.259444 | -118.413611 | WHP | WHITEMAN | Non-Fatal | Substantial | Airplane | N13HK | CESSNA | 177B | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 1 | VMC | LANDING | Probable Cause | 10/08/2015 | 
20150819X63550 | Accident | GAA15CA231 | 08/16/2015 | Ione, OR | United States | 45.330278 | -119.779723 | NONE | JEPSEN FARM AIRSTRIP | Non-Fatal | Substantial | Airplane | N28RR | CESSNA | 180H | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 2 | 1 | VMC | LANDING | Probable Cause | 09/30/2015 | 
20150819X23543 | Accident | GAA15CA230 | 08/16/2015 | Whittier, CA | United States | 34.005556 | -118.051111 |  | N/A | Non-Fatal | Substantial | Helicopter | N412LA | BELL | 412 | No | 2 | Turbo Shaft | Public Use |  | Fire Fighting |  |  |  | 1 | 2 | VMC | MANEUVERING | Probable Cause | 11/05/2015 | 
20150816X35140 | Accident | ERA15LA315 | 08/16/2015 | Bristow, VA | United States | 38.743889 | -77.549166 | HEF | MANASSAS RGNL/HARRY P DAVIS FI | Non-Fatal | Substantial | Airplane | N82587 | PIPER | PA 28-161 | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  |  | 1 |  |  | VMC | APPROACH | Preliminary | 08/28/2015 | 
20150816X95657 | Accident | ERA15FA313 | 08/16/2015 | Hicksville, NY | United States | 40.754722 | -73.501111 |  | N/A | Fatal(1) | Destroyed | Airplane | N5946C | BEECH | C35 | No | 1 | Reciprocating | Part 135: Air Taxi & Commuter | NSCH |  | MILO JOSEPH | 1 | 1 |  |  | VMC |  | Preliminary | 08/21/2015 | 
20150922X00108 | Incident | DCA15WA189 | 08/16/2015 | London, United Kingdom | United Kingdom |  |  |  |  | Incident |  | Airplane |  | British Aerospace Civil Aircr | BAe 146-200 | No | 4 | Turbo Fan |  |  |  |  |  |  |  |  |  | LANDING | Foreign |  | 
20150821X04423 | Accident | CEN15WA372 | 08/16/2015 | Margaree, Canada | Canada | 46.340833 | -60.980556 |  |  | Non-Fatal | Substantial | Airplane |  | BEECH | A100 |  | 2 | Turbo Prop |  |  |  |  |  |  |  | 4 |  | LANDING | Foreign |  | 
20150818X35324 | Accident | CEN15WA364 | 08/16/2015 | Chateauneuf Sur Cher, France | France |  |  |  |  | Non-Fatal | Destroyed | Airplane | N88MX | MX AIRCRAFT LLC | MX2 |  | 1 | Reciprocating | Non-U.S., Non-Commercial |  |  |  |  |  | 1 |  |  |  | Foreign |  | 
20150909X33413 | Accident | CEN15LA403 | 08/16/2015 | Big Piney, WY | United States | 43.159722 | 109.658889 |  | N/A | Non-Fatal | Substantial | Airplane | XBYUH | CESSNA | 182 | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 2 |  | VMC | MANEUVERING | Preliminary | 10/06/2015 | 
20150818X51118 | Incident | CEN15IA365 | 08/16/2015 | Mount Vernon, OH | United States | 40.328889 | -82.526389 | 4I3 | KNOX COUNTY | Incident |  | Airplane | N2059W | BEECH | V35 | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 2 | VMC |  | Probable Cause | 06/29/2016 | 
20150820X53149 | Accident | GAA15CA234 | 08/15/2015 | Wolcottville, IN | United States | 41.535000 | -85.375278 |  | N/A | Non-Fatal | Substantial | Airplane | N683DB | BURTON DENNIS W | SONEX | Yes | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 2 |  | VMC |  | Probable Cause | 11/05/2015 | 
20150818X64418 | Accident | GAA15CA229 | 08/15/2015 | Augusta, KY | United States | 38.777500 | -84.003611 |  | N/A | Non-Fatal | Substantial | Airplane | N831CM | MCKINNEY CHARLES R | SEAREY | Yes | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 2 | VMC | LANDING | Probable Cause | 10/08/2015 | 
20160630X91359 | Incident | ERA15WA383 | 08/15/2015 | Boyaca, Colombia | Colombia | 5.761667 | -73.109167 | SKPA | Juan Jose Rondon Airport | Incident | Minor | Airplane | N188RU | BEECH | 350 | No |  |  | Non-U.S., Non-Commercial |  | Personal |  |  |  |  | 11 | VMC | LANDING | Foreign |  | 
20150818X05411 | Accident | ERA15LA319 | 08/15/2015 | New Holland, PA | United States | 40.125556 | -76.105833 |  | N/A | Non-Fatal | Minor | Balloon | N40104 | HEAD | AX9 118 | No |  |  | Part 91: General Aviation |  | Other Work Use |  |  | 2 | 1 |  | VMC |  | Probable Cause | 03/02/2016 | 
20150815X21004 | Accident | ERA15FA312 | 08/15/2015 | West Caldwell, NJ | United States | 40.863611 | -74.283056 | CDW | Essex County | Fatal(1) | Substantial | Airplane | N63TV | CESSNA | T206H | No | 1 | Reciprocating | Part 91: General Aviation |  | Positioning |  | 1 |  |  |  | VMC | STANDING | Preliminary | 08/26/2015 | 
20150818X12419 | Accident | ERA15CA321 | 08/15/2015 | Pittsboro, NC | United States | 35.814167 | -79.244444 | 1NC1 | Ron's Ultralight Field | Non-Fatal | Substantial | Airplane | UNREG | QUICKSILVER | MXL II Sport | Yes | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  | 2 |  |  | VMC | TAKEOFF | Probable Cause | 03/14/2016 | 
20150818X10401 | Accident | ERA15CA320 | 08/15/2015 | Bladenboro, NC | United States | 34.542777 | -78.778056 | 3W6 | Bladenboro Airport | Non-Fatal | Substantial | Airplane | N629HS | SANDERSON HERBERT H | SHA GLASAIR | Yes | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 2 |  | VMC | TAKEOFF | Probable Cause | 11/05/2015 | 
20150818X14949 | Accident | DCA15LA173 | 08/15/2015 | Charlotte, NC | United States | 35.213611 | -80.949166 | CLT | CHARLOTTE/DOUGLAS INTL | Non-Fatal | Substantial | Airplane | N564UW | AIRBUS | A321 | No | 2 | Turbo Fan | Part 121: Air Carrier | SCHD |  | US Airways |  |  |  | 159 | VMC | APPROACH | Preliminary | 08/21/2015 | 
20150820X14230 | Accident | CEN15LA371 | 08/15/2015 | Venice, LA | United States | 29.013611 | -89.159722 | NONE | Port Eads | Non-Fatal | Substantial | Airplane | N1805Y | CESSNA | 172C | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 1 | 1 | VMC | LANDING | Probable Cause | 05/16/2016 | 
20150817X02422 | Accident | ANC15CA064 | 08/15/2015 | Coldfoot, AK | United States | 67.976945 | -149.752500 |  | N/A | Non-Fatal | Destroyed | Airplane | N8556E | CHAMPION | 7HC | No |  | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 2 | VMC |  | Probable Cause | 03/14/2016 | 
20150814X04638 | Accident | WPR15LA240 | 08/14/2015 | Chula Vista, CA | United States | 32.613333 | -116.959167 | SDM | BROWN FIELD MUNI | Non-Fatal | Substantial | Airplane | N17154 | STINSON | SR 9B | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 1 |  | VMC | MANEUVERING | Preliminary | 08/26/2015 | 
20150818X61316 | Accident | GAA15CA228 | 08/14/2015 | Danbury, CT | United States | 41.370556 | -73.483056 | DXR | DANBURY MUNI | Non-Fatal | Substantial | Airplane | N8922M | CESSNA | 337F | No | 2 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 1 | VMC | LANDING | Probable Cause | 10/08/2015 | 
20150824X33328 | Accident | ERA15WA324 | 08/14/2015 | Sakha Republic, Russia | Russia |  |  |  | N/A | Fatal(1) | Destroyed | Helicopter |  | ROBINSON | R44 | No |  |  | Non-U.S., Non-Commercial |  | Unknown |  | 1 | 2 |  |  |  |  | Foreign |  | 
20150817X61230 | Accident | ERA15WA316 | 08/14/2015 | Limpio, Paraguay | Paraguay | -25.162500 | -57.458056 |  | N/A | Fatal(1) | Destroyed | Helicopter |  | ROBINSON | R44 - II | No |  |  | Non-U.S., Non-Commercial |  | Other Work Use |  | 1 | 2 |  |  | IMC | CRUISE | Foreign |  | 
20150814X40417 | Accident | ERA15LA311 | 08/14/2015 | Allentown, PA | United States | 40.570278 | -75.488333 | XLL | ALLENTOWN QUEEN CITY MUNI | Non-Fatal | Substantial | Airplane | N1750Z | THOMAS A SIMINSKI | ZENITH CH 750 | Yes | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  | 1 |  |  | VMC | TAKEOFF | Probable Cause | 11/19/2015 | 
20150817X94448 | Accident | ERA15CA317 | 08/14/2015 | Fairmont, WV | United States | 39.447777 | -80.167500 | 4G7 | Fairmont Municipal Airport | Non-Fatal | Substantial | Airplane | N93606 | ERCOUPE | 415 C | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 1 |  | VMC |  | Probable Cause | 12/03/2015 | 
20150817X61459 | Accident | CEN15LA360 | 08/14/2015 | Las Cruces, NM | United States | 32.278056 | -106.905556 | LRU | LAS CRUCES INTL | Fatal(1) | Substantial | Airplane | N14124 | NORTH AMERICAN | T 28A | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  | 1 |  | 1 |  | VMC | TAKEOFF | Probable Cause | 09/12/2016 | 
20150814X91539 | Accident | WPR15LA242 | 08/13/2015 |  | United States | 37.433334 | -130.833334 |  | N/A | Fatal(1) | Destroyed | Airplane | N427LE | BARTELS | LANCAIR EVOLUTION | Yes | 1 | Turbo Prop | Part 91: General Aviation |  | Personal |  | 1 |  |  |  | VMC | CLIMB | Preliminary | 08/26/2015 | 
20150814X43648 | Accident | WPR15FA241 | 08/13/2015 | Oroville, WA | United States | 48.929167 | -119.286389 | 0S7 | DOROTHY SCOTT | Fatal(2) | Destroyed | Airplane | N6289Z | CESSNA | T182T | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  | 2 |  |  |  |  | CLIMB | Preliminary | 08/17/2015 | 
20150817X35859 | Accident | GAA15CA224 | 08/13/2015 | Caldwell, ID | United States | 43.641944 | -116.635833 | EUL | CALDWELL INDUSTRIAL | Non-Fatal | Substantial | Helicopter | N3103Q | ROBINSON HELICOPTER | R22 BETA | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  |  |  | 2 |  | VMC | LANDING | Probable Cause | 12/03/2015 | 
20150816X31900 | Accident | ERA15LA314 | 08/13/2015 | Trenton, NC | United States | 35.057500 | -77.463333 | PVT | GENE POWERS | Non-Fatal | Substantial | Airplane | N5277 | GRUMMAN | G164 | No | 1 | Reciprocating | Part 137: Agricultural |  | Aerial Application |  |  |  |  | 1 | VMC | LANDING | Probable Cause | 04/04/2016 | 
20150813X90826 | Accident | ERA15WA310 | 08/12/2015 | Saba, Netherlands Antilles | Netherlands Antilles | 17.592500 | -63.259722 |  | N/A | Non-Fatal | Substantial | Airplane | N924FE | CESSNA | 208B | No | 1 | Turbo Prop | Non-U.S., Non-Commercial |  |  |  |  |  | 1 |  |  |  | Foreign |  | 
20150812X10354 | Accident | ERA15FA308 | 08/12/2015 | Weirsdale, FL | United States | 28.969445 | -81.891666 | 97FL | Love's Landing | Fatal(2) | Destroyed | Airplane | N390Z | BEECH | N35 | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  | 2 |  |  |  | VMC | TAKEOFF | Preliminary | 08/24/2015 | 
20150814X24105 | Accident | DCA15RA171 | 08/12/2015 | Lagos, Nigeria | Nigeria | 6.553889 | 3.411389 |  |  | Unavailable | Destroyed | Helicopter |  | SIKORSKY | S76 - C |  |  |  |  |  |  |  |  |  |  |  |  | CRUISE | Foreign |  | 
20150824X65055 | Accident | CEN15LA377 | 08/12/2015 | Sac City, IA | United States | 42.425834 | -94.961667 |  | N/A | Non-Fatal | Substantial | Airplane | N311AL | GRUMMAN | G 164B | No |  | Reciprocating | Part 137: Agricultural |  | Aerial Application |  |  |  |  | 1 | VMC | MANEUVERING | Probable Cause | 03/02/2016 | 
20150812X65808 | Accident | CEN15CA356 | 08/12/2015 | Pearland, TX | United States | 29.521389 | -95.242222 | LVJ | Pearland Regional Airport | Non-Fatal | Substantial | Airplane | N95592 | TAYLORCRAFT | BC12-D | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 1 |  | VMC | APPROACH | Probable Cause | 12/17/2015 | 
20150813X51024 | Accident | GAA15CA223 | 08/11/2015 | Driggs, ID | United States | 43.745555 | -111.093611 | DIJ | DRIGGS-REED MEMORIAL | Non-Fatal | Substantial | Airplane | N2369D | CESSNA | 170B | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 1 | 1 | VMC | LANDING | Probable Cause | 09/30/2015 | 
20150812X10003 | Accident | GAA15CA221 | 08/11/2015 | Clanton, AL | United States | 32.851111 | -86.608056 | 02A | CHILTON COUNTY | Non-Fatal | Substantial | Helicopter | N74823 | BELL | 47D1 | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  |  |  |  | 2 | VMC | LANDING | Probable Cause | 09/30/2015 | 
20150903X52432 | Incident | DCA15WA180 | 08/11/2015 | Frankfurt, Germany | Germany |  |  |  |  | Incident |  | Airplane |  | BOEING | 747 |  |  |  |  |  |  |  |  |  |  |  |  | TAXI | Foreign |  | 
20150817X70324 | Accident | CEN15LA361 | 08/11/2015 | Brookfield, MO | United States | 39.761944 | -93.013333 | MO8 | NORTH CENTRAL MISSOURI RGNL | Non-Fatal | Substantial | Airplane | N8896U | CESSNA | 150 |  | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 2 | VMC | APPROACH | Probable Cause | 02/03/2016 | 
20150812X42615 | Accident | GAA15CA222 | 08/10/2015 | Emily, MN | United States | 46.739166 | -93.918056 |  | N/A | Non-Fatal | Substantial | Airplane | N23DE | CESSNA | A185F | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 1 | VMC | LANDING | Probable Cause | 10/08/2015 | 
20150810X41830 | Accident | ERA15LA306 | 08/10/2015 | Brooksville, FL | United States | 28.473611 | -82.455556 | BKV | BROOKSVILLE-TAMPA BAY RGNL | Non-Fatal | Destroyed | Airplane | N9288 | WRIGHT DANIEL J | VP-1 | Yes | 1 |  | Part 91: General Aviation |  | Flight Test |  |  | 1 |  |  | VMC | TAKEOFF | Preliminary | 08/26/2015 | 
20150810X33043 | Accident | ERA15FA299 | 08/10/2015 | Marathon, FL | United States | 24.730000 | -81.076667 | MTH | THE FLORIDA KEYS MARATHON | Fatal(1) | Destroyed | Airplane | N54380 | PIPER | PA-28R | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  | 1 |  |  |  | VMC | TAKEOFF | Probable Cause | 02/08/2016 | 
20150812X02331 | Accident | CEN15LA350 | 08/10/2015 | Midland, TX | United States | 32.023611 | -102.098611 | MDD | MIDLAND AIRPARK | Non-Fatal | Substantial | Gyrocraft | N743SS | JAL R DENNIS | TRIXY PRINCESS | Yes | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 2 |  | VMC | TAKEOFF | Preliminary | 09/21/2015 | 
20150812X54001 | Accident | CEN15CA353 | 08/10/2015 | Tyler, TX | United States | 32.239722 | -95.181945 |  | N/A | Non-Fatal | Substantial | Airplane | N6356Z | RATTE JAMES | AVENTURA II | Yes |  | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 1 |  | VMC | LANDING | Probable Cause | 09/11/2015 | 
20150809X71758 | Accident | WPR15FA238 | 08/09/2015 | Compton, CA | United States | 33.889444 | -118.245555 | CPM | COMPTON/WOODLEY | Fatal(1) | Destroyed | Airplane | N6090U | AVIAT INC | A 1 | No | 1 | Reciprocating | Part 91: General Aviation |  | Banner Tow |  | 1 |  |  |  | VMC | TAKEOFF | Preliminary | 08/14/2015 | 
20150813X21754 | Accident | ERA15WA309 | 08/09/2015 | Bajo Baudo, Colombia | Colombia | 4.960278 | -77.363056 |  | Pizarro Airport | Fatal(3) | Destroyed | Airplane |  | CESSNA | 172N | No |  |  | Non-U.S., Non-Commercial |  | Unknown |  | 3 |  |  |  | VMC |  | Foreign |  | 
20150810X43046 | Accident | ERA15LA301 | 08/09/2015 | Kissimmee, FL | United States | 28.000000 | -81.000000 | ISM | Kissimmee Gateway | Non-Fatal | Substantial | Airplane | N8370X | CESSNA | 172 | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  | 1 |  |  | VMC | APPROACH | Probable Cause | 03/14/2016 | 
20150810X43757 | Accident | ERA15CA302 | 08/09/2015 | Titusville, FL | United States | 28.622500 | -80.835277 | X21 | Arthur Dunn Airpark | Non-Fatal | Substantial | Airplane | N206DZ | CESSNA | 206G | No | 1 | Reciprocating | Part 91: General Aviation |  | Skydiving |  |  |  | 1 |  | VMC | LANDING | Probable Cause | 12/03/2015 | 
20150812X42322 | Accident | CEN15RA352 | 08/09/2015 | Akureyri, Iceland | Iceland | 65.863611 | -18.936389 |  | N/A | Fatal(1) | Substantial | Airplane | N610LC | DEHAVILLAND | DHC 2 |  | 1 | Reciprocating | Non-U.S., Non-Commercial |  |  |  | 1 | 1 |  |  |  | MANEUVERING | Foreign |  | 
20150812X60630 | Accident | CEN15LA354 | 08/09/2015 | Clovis, NM | United States | 34.426667 | -103.077500 | CVN | Clovis Municipal Airport | Non-Fatal | Substantial | Airplane | N726JB | CESSNA | C421B | No |  |  | Part 91: General Aviation |  | Personal |  |  | 1 |  |  | VMC | APPROACH | Preliminary | 08/19/2015 | 
20150810X41844 | Accident | CEN15LA344 | 08/09/2015 | Humboldt, IA | United States | 42.754722 | -94.198611 |  | N/A | Fatal(1) | Substantial | Gyrocraft | N315LK | ERICKSON LARRY D | RAF 2000 GT | Yes | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  | 1 | 1 |  |  | VMC | MANEUVERING | Probable Cause | 05/16/2016 | 
20150811X02029 | Accident | CEN15FA347 | 08/09/2015 | Harrisburg, IL | United States | 37.565556 | -88.643333 |  | N/A | Fatal(2) | Substantial | Airplane | N9684U | GRUMMAN AMERICAN AVN. CORP. | AA 5A | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  | 2 |  |  |  | VMC | CRUISE | Probable Cause | 08/10/2016 | 
20150810X05447 | Accident | CEN15FA342 | 08/09/2015 | Harbor Springs, MI | United States | 45.424445 | -84.899444 | MGN | HARBOR SPRINGS | Fatal(1) | Substantial | Airplane | N43829 | PIPER | PA 32R-300 | No |  | Reciprocating | Part 91: General Aviation |  | Personal |  | 1 |  |  |  | VMC | APPROACH | Probable Cause | 08/23/2016 | 
20150810X54634 | Accident | GAA15CA218 | 08/08/2015 | East Haddam, CT | United States | 41.446666 | -72.457500 | 42B | GOODSPEED | Non-Fatal | Substantial | Airplane | N5749C | CESSNA | 170A | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 1 | VMC | LANDING | Probable Cause | 10/08/2015 | 
20150810X15430 | Accident | ERA15WA305 | 08/08/2015 | VEREDA GUARIGUA CAJICA, Colombia | Colombia | 4.928611 | -74.041944 |  | N/A | Fatal(3) | Substantial | Airplane |  | CESSNA | 402B | No | 2 | Reciprocating | Non-U.S., Non-Commercial |  | Instructional |  | 3 |  |  |  | VMC | MANEUVERING | Foreign |  | 
20150810X83147 | Accident | ERA15WA303B | 08/08/2015 | Istra, Russia | Russia |  |  |  | N/A | Fatal(9) | Destroyed | Helicopter |  | ROBINSON | R44 | No | 1 | Reciprocating | Non-U.S., Non-Commercial |  | Unknown |  | 9 |  |  |  |  | MANEUVERING | Foreign |  | 
20150810X83147 | Accident | ERA15WA303A | 08/08/2015 | Istra, Russia | Russia |  |  |  | N/A | Fatal(9) | Destroyed | Airplane |  | CESSNA | U206F | No | 1 | Reciprocating | Non-U.S., Non-Commercial |  | Unknown |  | 9 |  |  |  |  | MANEUVERING | Foreign |  | 
20150810X41947 | Accident | ERA15LA300 | 08/08/2015 | Hot Springs, VA | United States | 37.946666 | -79.843333 | HSP | INGALLS FIELD | Non-Fatal | Substantial | Airplane | N7506S | CESSNA | 182Q | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 2 |  | VMC | TAKEOFF | Preliminary | 08/19/2015 | 
20150903X94119 | Accident | CEN15LA398 | 08/08/2015 | Zeeland, MI | United States | 42.812500 | -86.018611 | None | Scott P. Headley | Non-Fatal | Destroyed | Powered Parachute | NONE | Buckeye | Dream Macine | No | 1 | Reciprocating | Part 103: Ultralight |  | Personal |  |  | 1 |  |  | VMC | MANEUVERING | Probable Cause | 07/11/2016 | 
20150815X21709 | Accident | CEN15LA359 | 08/08/2015 | Albuquerque, NM | United States | 35.302222 | -107.156667 |  | N/A | Non-Fatal | Substantial | Airplane | N5982V | AEROS LTD | AEROS 2 | Yes | 1 | Reciprocating | Part 103: Ultralight |  | Personal |  |  | 2 |  |  | VMC | MANEUVERING | Probable Cause | 11/30/2015 | 
20150810X22742 | Accident | CEN15LA343 | 08/08/2015 | Hartington, NE | United States | 42.801389 | -97.411667 | N/A | Private Airstrip | Non-Fatal | Substantial | Airplane | N5800R | CESSNA | 172G | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  | 2 |  |  | VMC | TAKEOFF | Probable Cause | 05/16/2016 | 
20150817X00955 | Accident | ANC15LA063 | 08/08/2015 | Talkeetna, AK | United States | 62.300000 | -151.689722 |  | N/A | Non-Fatal | Substantial | Airplane | N9265D | PIPER | PA 18-150 | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  | 1 |  |  | VMC | UNKNOWN | Preliminary | 10/06/2015 | 
20150812X63537 | Accident | WPR15LA239 | 08/07/2015 | South Lake Tahoe, CA | United States | 38.893333 | -120.004167 |  | N/A | Non-Fatal |  | Airplane | N204NN | EMBRAER | E175 | No | 2 | Turbo Fan | Part 121: Air Carrier | SCHD |  | Compass Airlines LLC (DBA: American Eagle) |  | 1 |  | 65 | VMC |  | Probable Cause | 03/14/2016 | 
20150811X22104 | Incident | OPS15IA020 | 08/07/2015 | Max, NE | United States | 40.139722 | -101.361389 |  | N/A | Incident | Minor | Airplane |  | AIRBUS INDUSTRIE | A320 211 | No | 2 | Turbo Fan |  | SCHD |  |  |  |  |  | 124 | IMC |  | Preliminary | 08/10/2016 | 
20151109X94047 | Accident | ERA15LA381 | 08/07/2015 | Charlotte, VT | United States | 44.316667 | -73.250000 | NONE | PVT | Non-Fatal | Substantial | Unknown | N330B | BROWN JAMES W | ZENITH STOL CH 750 | Yes |  | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 2 | VMC | LANDING | Preliminary | 03/11/2016 | 
20150810X11953 | Accident | ERA15LA304 | 08/07/2015 | Danville, KY | United States | 37.577500 | -84.769445 | DVK | STUART POWELL FIELD | Non-Fatal | Substantial | Airplane | N740JB | BOARD JAMES A | ZENITH 601 HD | Yes | 1 | Reciprocating | Part 91: General Aviation |  | Flight Test |  |  |  |  | 1 | VMC | TAKEOFF | Probable Cause | 05/16/2016 | 
20150807X21627 | Accident | ERA15FA298 | 08/07/2015 | Montrose, PA | United States | 41.823889 | -75.877778 | PVT |  | Fatal(1) | Substantial | Airplane | N428YT | MCHUGH TONY | KITFOX MODEL 1 | Yes |  | Reciprocating | Part 91: General Aviation |  | Personal |  | 1 |  |  |  | VMC | APPROACH | Preliminary | 08/21/2015 | 
20150807X03037 | Accident | ERA15FA297 | 08/07/2015 | Saranac Lake, NY | United States | 44.403333 | -74.203611 | SLK | Adirondack Regional Airport | Fatal(4) | Destroyed | Airplane | N819TB | PIPER | PA46 | No | 1 | Turbo Prop | Part 91: General Aviation |  | Personal |  | 4 |  |  |  | VMC | TAKEOFF | Probable Cause | 05/16/2016 | 
